"Quantity","Value"
"hertz-kelvin.relationship",4.80E-011
"hertz-kilogram.relationship",7.37E-051
"inverse.fine-structure.constant",1.37E+002
"inverse.meter-atomic.mass.unit.relationship",1.33E-015
"inverse.meter-electron.volt.relationship",1.24E-006
"inverse.meter-hartree.relationship",4.56E-008
"inverse.meter-hertz.relationship",3.00E+008
"inverse.meter-joule.relationship",1.99E-025
"inverse.meter-kelvin.relationship",1.44E-002
"inverse.meter-kilogram.relationship",2.21E-042
"inverse.of.conductance.quantum",1.29E+004
"Josephson.constant",4.84E+014
"joule-atomic.mass.unit.relationship",6.70E+009
"joule-electron.volt.relationship",6.24E+018
"joule-hartree.relationship",2.29E+017
"joule-hertz.relationship",1.51E+033
"joule-inverse.meter.relationship",5.03E+024
"joule-kelvin.relationship",7.24E+022
"joule-kilogram.relationship",1.11E-017
"kelvin-atomic.mass.unit.relationship",9.25E-014
"kelvin-electron.volt.relationship",8.62E-005
"kelvin-hartree.relationship",3.17E-006
"kelvin-hertz.relationship",2.08E+010
"kelvin-inverse.meter.relationship",6.95E+001
"kelvin-joule.relationship",1.38E-023
"kelvin-kilogram.relationship",1.54E-040
"kilogram-atomic.mass.unit.relationship",6.02E+026
"kilogram-electron.volt.relationship",5.61E+035
"kilogram-hartree.relationship",2.06E+034
"kilogram-hertz.relationship",1.36E+050
"kilogram-inverse.meter.relationship",4.52E+041
"kilogram-joule.relationship",8.99E+016
"kilogram-kelvin.relationship",6.51E+039
"lattice.parameter.of.silicon",5.43E-010
"Loschmidt.constant.(273.15.K,.101.325.kPa)",2.69E+025
"mag..constant",1.26E-006
"mag..flux.quantum",2.07E-015
"molar.gas.constant",8.31E+000
"molar.mass.constant",1.00E-003
"molar.mass.of.carbon-12",1.20E-002
"molar.Planck.constant",3.99E-010
"molar.Planck.constant.times.c",1.20E-001
"molar.volume.of.ideal.gas.(273.15.K,.100.kPa)",2.27E-002
"molar.volume.of.ideal.gas.(273.15.K,.101.325.kPa)",2.24E-002
"molar.volume.of.silicon",1.21E-005
"Mo.x.unit",1.00E-013
"muon.Compton.wavelength",1.17E-014
"muon.Compton.wavelength.over.2.pi",1.87E-015
"muon-electron.mass.ratio",2.07E+002
"muon.g.factor",-2.00E+000
"muon.mag..mom.",-4.49E-026
"muon.mag..mom..anomaly",1.17E-003
"muon.mag..mom..to.Bohr.magneton.ratio",-4.84E-003
"muon.mag..mom..to.nuclear.magneton.ratio",-8.89E+000
"muon.mass",1.88E-028
"muon.mass.energy.equivalent",1.69E-011
"muon.mass.energy.equivalent.in.MeV",1.06E+002
"muon.mass.in.u",1.13E-001
"muon.molar.mass",1.13E-004
"muon-neutron.mass.ratio",1.12E-001
"muon-proton.mag..mom..ratio",-3.18E+000
"muon-proton.mass.ratio",1.13E-001
"muon-tau.mass.ratio",5.95E-002
"natural.unit.of.action",1.05E-034
"natural.unit.of.action.in.eV.s",6.58E-016
"natural.unit.of.energy",8.19E-014
"natural.unit.of.energy.in.MeV",5.11E-001
"natural.unit.of.length",3.86E-013
"natural.unit.of.mass",9.11E-031
"natural.unit.of.momentum",2.73E-022
"natural.unit.of.momentum.in.MeV/c",5.11E-001
"natural.unit.of.time",1.29E-021
"natural.unit.of.velocity",3.00E+008
"neutron.Compton.wavelength",1.32E-015
"neutron.Compton.wavelength.over.2.pi",2.10E-016
"neutron-electron.mag..mom..ratio",1.04E-003
"neutron-electron.mass.ratio",1.84E+003
"neutron.g.factor",-3.83E+000
"neutron.gyromag..ratio",1.83E+008
"neutron.gyromag..ratio.over.2.pi",2.92E+001
"neutron.mag..mom.",-9.66E-027
"neutron.mag..mom..to.Bohr.magneton.ratio",-1.04E-003
"neutron.mag..mom..to.nuclear.magneton.ratio",-1.91E+000
"neutron.mass",1.67E-027
"neutron.mass.energy.equivalent",1.51E-010
"neutron.mass.energy.equivalent.in.MeV",9.40E+002
"neutron.mass.in.u",1.01E+000
"neutron.molar.mass",1.01E-003
"neutron-muon.mass.ratio",8.89E+000
"neutron-proton.mag..mom..ratio",-6.85E-001
"neutron-proton.mass.ratio",1.00E+000
"neutron-tau.mass.ratio",5.29E-001
"neutron.to.shielded.proton.mag..mom..ratio",-6.85E-001
"Newtonian.constant.of.gravitation",6.67E-011
"Newtonian.constant.of.gravitation.over.h-bar.c",6.71E-039
"nuclear.magneton",5.05E-027
"nuclear.magneton.in.eV/T",3.15E-008
"nuclear.magneton.in.inverse.meters.per.tesla",2.54E-002
"nuclear.magneton.in.K/T",3.66E-004
"nuclear.magneton.in.MHz/T",7.62E+000
"Planck.constant",6.63E-034
"Planck.constant.in.eV.s",4.14E-015
"Planck.constant.over.2.pi",1.05E-034
"Planck.constant.over.2.pi.in.eV.s",6.58E-016
"Planck.constant.over.2.pi.times.c.in.MeV.fm",1.97E+002
"Planck.length",1.62E-035
"Planck.mass",2.18E-008
"Planck.mass.energy.equivalent.in.GeV",1.22E+019
"Planck.temperature",1.42E+032
"Planck.time",5.39E-044
"proton.charge.to.mass.quotient",9.58E+007
"proton.Compton.wavelength",1.32E-015
"proton.Compton.wavelength.over.2.pi",2.10E-016
"proton-electron.mass.ratio",1.84E+003
"proton.g.factor",5.59E+000
"proton.gyromag..ratio",2.68E+008
"proton.gyromag..ratio.over.2.pi",4.26E+001
"proton.mag..mom.",1.41E-026
"proton.mag..mom..to.Bohr.magneton.ratio",1.52E-003
"proton.mag..mom..to.nuclear.magneton.ratio",2.79E+000
"proton.mag..shielding.correction",2.57E-005
"proton.mass",1.67E-027
"proton.mass.energy.equivalent",1.50E-010
"proton.mass.energy.equivalent.in.MeV",9.38E+002
"proton.mass.in.u",1.01E+000
"proton.molar.mass",1.01E-003
"proton-muon.mass.ratio",8.88E+000
"proton-neutron.mag..mom..ratio",-1.46E+000
"proton-neutron.mass.ratio",9.99E-001
"proton.rms.charge.radius",8.77E-016
"proton-tau.mass.ratio",5.28E-001
"quantum.of.circulation",3.64E-004
"quantum.of.circulation.times.2",7.27E-004
"Rydberg.constant",1.10E+007
"Rydberg.constant.times.c.in.Hz",3.29E+015
"Rydberg.constant.times.hc.in.eV",1.36E+001
"Rydberg.constant.times.hc.in.J",2.18E-018
"Sackur-Tetrode.constant.(1.K,.100.kPa)",-1.15E+000
"Sackur-Tetrode.constant.(1.K,.101.325.kPa)",-1.16E+000
"second.radiation.constant",1.44E-002
"shielded.helion.gyromag..ratio",2.04E+008
"shielded.helion.gyromag..ratio.over.2.pi",3.24E+001
"shielded.helion.mag..mom.",-1.07E-026
"shielded.helion.mag..mom..to.Bohr.magneton.ratio",-1.16E-003
"shielded.helion.mag..mom..to.nuclear.magneton.ratio",-2.13E+000
"shielded.helion.to.proton.mag..mom..ratio",-7.62E-001
"shielded.helion.to.shielded.proton.mag..mom..ratio",-7.62E-001
"shielded.proton.gyromag..ratio",2.68E+008
